table	source_index	columns	unique	partial	disposition	target_evidence
account	account_userId_idx	userId	0	0	retain named index	CREATE INDEX `account_userId_idx` ON `account` (`userId`)
account	sqlite_autoindex_account_1	id	1	0	retain named index	
availability_overrides	availability_overrides_site_month_idx	site_id,override_date	0	0	retain named index	CREATE INDEX `availability_overrides_site_month_idx` ON `availability_overrides` (`site_id`,`override_date`)
availability_overrides	availability_overrides_experience_slot_unique	experience_id,override_date,time_slot	1	1	retain named index	CREATE UNIQUE INDEX `availability_overrides_experience_slot_unique` ON `availability_overrides` (`experience_id`,`override_date`,`time_slot`) WHERE owner_type = 'experience'
availability_overrides	availability_overrides_location_slot_unique	location_id,override_date,time_slot	1	1	retain named index	CREATE UNIQUE INDEX `availability_overrides_location_slot_unique` ON `availability_overrides` (`location_id`,`override_date`,`time_slot`) WHERE owner_type = 'location'
availability_overrides	sqlite_autoindex_availability_overrides_1	id	1	0	retain named index	
blog_posts	blog_posts_site_slug_unique	site_id,slug	1	0	retain named index	CREATE UNIQUE INDEX `blog_posts_site_slug_unique` ON `blog_posts` (`site_id`,`slug`)
blog_posts	blog_posts_org_site_idx	organization_id,site_id	0	0	retain named index	CREATE INDEX `blog_posts_org_site_idx` ON `blog_posts` (`organization_id`,`site_id`)
blog_posts	sqlite_autoindex_blog_posts_1	id	1	0	retain named index	
booking_policies	booking_policies_organization_id_idx	organization_id	0	0	retain named index	CREATE INDEX `booking_policies_organization_id_idx` ON `booking_policies` (`organization_id`)
booking_policies	booking_policies_experience_scope_unique	experience_id	1	1	retain named index	CREATE UNIQUE INDEX `booking_policies_experience_scope_unique` ON `booking_policies` (`experience_id`) WHERE policy_type = 'experience' AND scope_type = 'experience' AND experience_id IS NOT NULL
booking_policies	booking_policies_experience_location_unique	location_id	1	1	retain named index	CREATE UNIQUE INDEX `booking_policies_experience_location_unique` ON `booking_policies` (`location_id`) WHERE policy_type = 'experience' AND scope_type = 'location' AND location_id IS NOT NULL
booking_policies	booking_policies_experience_site_unique	site_id	1	1	retain named index	CREATE UNIQUE INDEX `booking_policies_experience_site_unique` ON `booking_policies` (`site_id`) WHERE policy_type = 'experience' AND scope_type = 'site'
booking_policies	booking_policies_reservation_location_unique	location_id	1	1	retain named index	CREATE UNIQUE INDEX `booking_policies_reservation_location_unique` ON `booking_policies` (`location_id`) WHERE policy_type = 'reservation' AND scope_type = 'location' AND location_id IS NOT NULL
booking_policies	booking_policies_site_type_idx	site_id,policy_type	0	0	retain named index	CREATE INDEX `booking_policies_site_type_idx` ON `booking_policies` (`site_id`,`policy_type`)
booking_policies	sqlite_autoindex_booking_policies_1	id	1	0	retain named index	
business_locations	business_locations_organization_id_site_id_id_unique	organization_id,site_id,id	1	0	retain named index	CREATE UNIQUE INDEX `business_locations_organization_id_site_id_id_unique` ON `business_locations` (`organization_id`,`site_id`,`id`)
business_locations	business_locations_organization_id_site_id_slug_unique	organization_id,site_id,slug	1	0	retain named index	CREATE UNIQUE INDEX `business_locations_organization_id_site_id_slug_unique` ON `business_locations` (`organization_id`,`site_id`,`slug`)
business_locations	sqlite_autoindex_business_locations_1	id	1	0	retain named index	
canary_runs	idx_canary_runs_type_created	run_type,created_at	0	0	retain named index	CREATE INDEX `idx_canary_runs_type_created` ON `canary_runs` (`run_type`,`created_at`)
canary_runs	idx_canary_runs_status_created	status,created_at	0	0	retain named index	CREATE INDEX `idx_canary_runs_status_created` ON `canary_runs` (`status`,`created_at`)
canary_runs	sqlite_autoindex_canary_runs_1	id	1	0	retain named index	
chowbot_channel_state	chowbot_channel_state_user_id_idx	user_id	0	0	remove redundant prefix index	
chowbot_channel_state	sqlite_autoindex_chowbot_channel_state_1	user_id,channel	1	0	retain named index	
chowbot_conversations	chowbot_conversations_id_org_site_unique	id,organization_id,site_id	1	0	retain named index	CREATE UNIQUE INDEX `chowbot_conversations_id_org_site_unique` ON `chowbot_conversations` (`id`,`organization_id`,`site_id`)
chowbot_conversations	chowbot_conversations_id_site_user_unique	id,site_id,user_id	1	0	retain named index	CREATE UNIQUE INDEX `chowbot_conversations_id_site_user_unique` ON `chowbot_conversations` (`id`,`site_id`,`user_id`)
chowbot_conversations	idx_chowbot_conversations_site	site_id,user_id,status,updated_at	0	0	retain named index	CREATE INDEX `idx_chowbot_conversations_site` ON `chowbot_conversations` (`site_id`,`user_id`,`status`,`updated_at`)
chowbot_conversations	chowbot_conversations_user_id_idx	user_id	0	0	retain named index	CREATE INDEX `chowbot_conversations_user_id_idx` ON `chowbot_conversations` (`user_id`)
chowbot_conversations	chowbot_conversations_org_site_idx	organization_id,site_id	0	0	retain named index	CREATE INDEX `chowbot_conversations_org_site_idx` ON `chowbot_conversations` (`organization_id`,`site_id`)
chowbot_conversations	sqlite_autoindex_chowbot_conversations_1	id	1	0	retain named index	
chowbot_messages	chowbot_messages_org_site_idx	organization_id,site_id	0	0	retain named index	CREATE INDEX `chowbot_messages_org_site_idx` ON `chowbot_messages` (`organization_id`,`site_id`)
chowbot_messages	idx_chowbot_messages_conversation	conversation_id,created_at	0	0	retain named index	CREATE INDEX `idx_chowbot_messages_conversation` ON `chowbot_messages` (`conversation_id`,`created_at`)
chowbot_messages	chowbot_messages_meta_message_id_unique	meta_message_id	1	0	retain named index	CREATE UNIQUE INDEX `chowbot_messages_meta_message_id_unique` ON `chowbot_messages` (`meta_message_id`)
chowbot_messages	sqlite_autoindex_chowbot_messages_1	id	1	0	retain named index	
contact_submissions	idx_contact_submissions_site	site_id,created_at	0	0	retain named index	CREATE INDEX `idx_contact_submissions_site` ON `contact_submissions` (`site_id`,`created_at`)
contact_submissions	contact_submissions_location_idx	location_id,created_at	0	0	retain named index	CREATE INDEX `contact_submissions_location_idx` ON `contact_submissions` (`location_id`,`created_at`)
contact_submissions	contact_submissions_org_site_idx	organization_id,site_id	0	0	retain named index	CREATE INDEX `contact_submissions_org_site_idx` ON `contact_submissions` (`organization_id`,`site_id`)
contact_submissions	sqlite_autoindex_contact_submissions_1	id	1	0	retain named index	
